generation,mean_fitness_mean,mean_fitness_std,distance_from_optimum_mean,distance_from_optimum_std,phenotype_variance_mean,phenotype_variance_std,population_size_mean,population_size_std,n_parents_mean,n_parents_std,median_offspring_mean,median_offspring_std,max_offspring_mean,max_offspring_std,extinct_count
847,0.6760774835052569,0.12543431493225163,0.07958717399399803,0.02474211980941181,0.0009534951447625524,0.00035182625515489874,100.0,0.0,63.75,2.426417111710186,1.0,0.0,4.3,0.6403124237432849,0
848,0.6797021018435649,0.11350765677798678,0.07911239252067843,0.02274300454340577,0.0009748902745508527,0.00036810645198763616,100.0,0.0,63.8,2.9257477676655586,1.1,0.3,3.95,0.49749371855331004,0
849,0.6878279547933808,0.0956394249570847,0.0779255687128798,0.018929738916478308,0.000973256468605147,0.0004779736634671509,100.0,0.0,62.9,2.7367864366808012,1.05,0.21794494717703372,4.55,0.8046738469715542,0
850,0.6989411427448395,0.08564176057129588,0.07481443693131512,0.01889530258710568,0.0009818806631834525,0.0005291427421640517,100.0,0.0,64.25,3.7798809505062456,1.0,0.0,4.1,0.7000000000000001,0
851,0.7057212511827179,0.08953000170950098,0.07417646962694521,0.01822131109464243,0.0008955441539346398,0.0004984491329610218,100.0,0.0,63.75,2.426417111710186,1.0,0.0,4.1,0.6244997998398398,0
852,0.7091639445266489,0.0924808167190438,0.07420016029621092,0.01858424005738101,0.0008024018307660549,0.0004061030222644949,100.0,0.0,63.5,3.442382895611701,1.0,0.0,4.2,0.6,0
853,0.7029239895684309,0.09012215802849483,0.07496214535246351,0.017932506528828808,0.0008510243783146944,0.00028848886119455745,100.0,0.0,64.4,2.0591260281974,1.0,0.0,4.0,0.5477225575051661,0
854,0.7004793790515953,0.09829184126177934,0.07583230106601671,0.019659966484429685,0.0008039045013861998,0.00028034626730886835,100.0,0.0,63.35,3.1666228067138023,1.1,0.3,3.95,0.9205976319760983,0
855,0.6884320521729631,0.10493529953709886,0.0789817267457012,0.020031430840090597,0.0007591829678363518,0.0002930020053399646,100.0,0.0,63.75,3.4478254016118624,1.1,0.3,4.15,0.6538348415311009,0
856,0.68171689170402,0.10028479767128885,0.08048142329818425,0.01851543057670399,0.0007635540151161636,0.00032468887373087986,100.0,0.0,63.9,1.8681541692269403,1.0,0.0,4.05,0.49749371855331004,0
857,0.6649919464896593,0.10323167375543586,0.08377243257709485,0.019576798637833154,0.0007430590351578732,0.00029954484719619596,100.0,0.0,63.05,3.3087006513131403,1.1,0.3,4.1,0.6244997998398398,0
858,0.6506491553538479,0.10572228438411002,0.08588823836659197,0.020626344032228953,0.0007633997058282036,0.0003784141741905211,100.0,0.0,63.6,3.813135192987524,1.075,0.23848480035423641,4.1,0.5385164807134504,0
859,0.6309891068539489,0.11054310199416502,0.08898884304966824,0.021552645763677693,0.0008208504312289117,0.0003887367652027731,100.0,0.0,62.6,3.2619012860600183,1.1,0.3,4.3,0.8426149773176358,0
860,0.6245396639564782,0.11088402202107644,0.089932988668289,0.02160169330300698,0.0008603323083642367,0.0003818392474954054,100.0,0.0,61.85,2.5743931323712,1.15,0.32015621187164245,4.4,1.019803902718557,0
861,0.6175167376727573,0.11667308924285226,0.09066683530368394,0.022439523286590036,0.0009111784124445074,0.0003395738674224971,100.0,0.0,63.4,3.2465366161495854,1.1,0.3,4.3,0.6403124237432849,0
862,0.6059942112177248,0.11945644089880761,0.09194016485782043,0.023074051665995982,0.0010403440803947999,0.0003866110883576645,100.0,0.0,63.45,2.3764469276632285,1.075,0.23848480035423641,4.05,0.739932429347437,0
863,0.6082714785393006,0.12734111338758916,0.09181775122468075,0.02331624769502682,0.001003088068285164,0.00036168181078261334,100.0,0.0,63.5,2.5,1.05,0.21794494717703372,4.15,0.653834841531101,0
864,0.6078464623350748,0.12363879197643167,0.09136303647806088,0.022401999444653636,0.001092220934832226,0.0003847533173048152,100.0,0.0,63.9,2.7184554438136375,1.1,0.3,4.1,0.30000000000000004,0
865,0.5990997079064394,0.13142301273090615,0.09264221021215348,0.02342834366466039,0.0011314266289297347,0.00044674377476823735,100.0,0.0,63.8,3.8026306683663087,1.05,0.21794494717703372,4.2,0.812403840463596,0
866,0.5979635145818192,0.13945561734686315,0.09224814249121575,0.025502804464749944,0.001176285131435751,0.0006232874105566149,100.0,0.0,63.65,2.815581645060217,1.075,0.23848480035423641,4.35,0.963068014212911,0
867,0.590408266190512,0.13420573820931955,0.09388441205104861,0.024006434732049293,0.001190169127972667,0.0007260195805746007,100.0,0.0,64.0,2.449489742783178,1.0,0.0,4.0,0.5477225575051661,0
868,0.5871611151364535,0.1311602286828825,0.09465340302105335,0.02411160148768735,0.0011838015585030064,0.0006472690864610392,100.0,0.0,64.0,2.32379000772445,1.0,0.0,4.25,0.6224949798994366,0
